Campaign,Keyword,Match type,Status
"BR | Search | LeadBellus | WhatsApp Estetica","curso","Broad","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","emprego","Broad","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","vaga","Broad","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","salario","Broad","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","gratis download","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","pdf","Broad","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","modelo pronto gratis","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","concurso","Broad","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","botox antes e depois","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","preenchimento antes e depois","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","harmonizacao resultado","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","emagrecimento","Broad","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","remedio","Broad","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","medicamento","Broad","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","cirurgia","Broad","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","sus","Broad","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","anvisa","Broad","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","reclame aqui","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","whatsapp gb","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","hack","Broad","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","pirata","Broad","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","cupom","Broad","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","gratuito","Broad","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","trabalhe conosco","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","vagas de emprego","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","enviar curriculo","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","apostila","Broad","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","e-book gratis","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","treinamento","Broad","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","especializacao","Broad","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","quanto custa preenchimento","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","preco de botox","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","clinica barata","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","comprar toxina","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","valor de carboxiterapia","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","preco de harmonizacao","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","comprar acido hialuronico","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","fornecedor de botox","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","tratamento melasma","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","remedio espinha","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","dermatologista consulta","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","como tratar acne","Phrase","Enabled"
"BR | Search | LeadBellus | WhatsApp Estetica","consulta medica dermatologia","Phrase","Enabled"
