Asset type,Campaign,Text,Final URL,Description line 1,Description line 2,Header,Values
"Sitelink","BR | Search | LeadBellus | WhatsApp Estetica","Simulador","https://leadbellus.com.br/#simulador","Veja uma resposta gerada","Sem login e sem cartao","",""
"Sitelink","BR | Search | LeadBellus | WhatsApp Estetica","Planos","https://leadbellus.com.br/#precos","Start a partir de R$97/mes","Cancele quando quiser","",""
"Sitelink","BR | Search | LeadBellus | WhatsApp Estetica","Como Funciona","https://leadbellus.com.br/#funcoes","Respostas e retomadas","Objecoes no WhatsApp","",""
"Sitelink","BR | Search | LeadBellus | WhatsApp Estetica","Privacidade","https://leadbellus.com.br/privacidade","Veja politicas","Dados e atendimento","",""
"Callout","BR | Search | LeadBellus | WhatsApp Estetica","5 respostas gratis","","","","",""
"Callout","BR | Search | LeadBellus | WhatsApp Estetica","Sem cartao","","","","",""
"Callout","BR | Search | LeadBellus | WhatsApp Estetica","Cancele quando quiser","","","","",""
"Callout","BR | Search | LeadBellus | WhatsApp Estetica","Feito para estetica","","","","",""
"Callout","BR | Search | LeadBellus | WhatsApp Estetica","Respostas no seu tom","","","","",""
"Callout","BR | Search | LeadBellus | WhatsApp Estetica","Copiar e mandar","","","","",""
"Structured snippet","BR | Search | LeadBellus | WhatsApp Estetica","","","","","Recursos","Respostas; Objecoes; Retomadas; Roteiros; Tom da clinica"
